iteration,continuity,ux,uy,uz,k,omega
1,0.01546258812395402,0.0014017106393923763,0.0011185706115683296,0.000839163524505746,3.075111417127311,0.2801119524326622
2,0.008235697174673595,0.001397708219688836,0.00111259173658863,0.0008349100069599351,3.057936882827139,0.27911268263936734
3,0.010016792709721924,0.001393710694181139,0.0011066396311965512,0.0008306741551817791,3.040854392695848,0.2781156736986487
4,0.01312022719701971,0.0013897180862303417,0.0011007142077857795,0.000826455919119892,3.023863492550731,0.27712092685239753
5,0.017220591806587943,0.0013857304190040699,0.0010948153787995994,0.0008222552486959674,3.006963730176981,0.27612844329487995
6,0.02005846322186867,0.0013817477154865765,0.0010889430567405489,0.0008180720938120372,2.9901546553208775,0.27513822417489653
7,0.002697480409923899,0.0013777699984815672,0.001083097154174256,0.0008139064043533688,2.9734358196827886,0.2741502705964937
8,0.004792825852821112,0.001373797290602725,0.0010772775837235783,0.000809758130184081,2.9568067769103825,0.27316458361722645
9,0.008087203917831956,0.0013698296142823682,0.0010714842580770276,0.0008056272211534892,2.940267082591731,0.27218116425003225
10,0.0038579926120499435,0.0013658669917752267,0.0010657170899932636,0.0008015136270995097,2.9238162942484927,0.27120001346412764
11,0.00582338409021232,0.001361909445148175,0.0010599759922946049,0.0007974172978438021,2.9074539713290286,0.2702211321831149
12,8.67200796164608e-05,0.0013579569962842077,0.0010542608778716977,0.0007933381831953049,2.8911796752016947,0.26924452128592125
13,0.003254928789558414,0.0013540096668927732,0.001048571659693052,0.0007892762329574361,2.8749929691479648,0.26827018160899424
14,0.0022983468914802557,0.0013500674785045848,0.0010429082508024484,0.0007852313969261784,2.858893418355686,0.26729811394541414
15,0.012020285167463002,0.0013461304524616342,0.0010372705643126984,0.0007812036248854092,2.8428805899122738,0.2663283190430621
16,0.010825493733528537,0.0013421986099321017,0.0010316585134186403,0.0007771928666167186,2.8269540527980754,0.2653607976077178
17,0.015092610761859667,0.001338271971911801,0.0010260720113996252,0.0007731990719013214,2.811113377879498,0.2643955503034846
18,0.02132476208241832,0.0013343505592076812,0.001020510971608251,0.0007692221905116073,2.7953581379023937,0.26343257774967094
19,0.014502212802922741,0.0013304343924594802,0.0010149753074883776,0.0007652621722247545,2.7796879074853407,0.26247188052521053
20,0.007760202439441858,0.001326523492129454,0.0010094649325685864,0.0007613189668178457,2.764102263112917,0.2615134591667728
21,0.006293030977335787,0.0013226178784992982,0.0010039797604612043,0.000757392524067174,2.7486007831290853,0.2605573141682967
22,0.00839312662116331,0.0013187175716814167,0.000998519704872212,0.0007534827937557619,2.7331830477305235,0.25960344598335144
23,0.004973323704280168,0.001314822591613166,0.0009930846795981546,0.0007495897256710801,2.717848638959973,0.2586518550241394
24,0.006122756772949264,0.001310932958054214,0.0009876745985254484,0.0007457132696045743,2.702597140699639,0.25770254166111495
25,0.0036551657917123217,0.0013070486905981168,0.0009822893756403935,0.0007418533753592733,2.6874281386645946,0.25675550622539817
26,0.005588966646881755,0.0013031698086665969,0.0009769289250260722,0.0007380099927475056,2.6723412203961434,0.25581074900778367
27,0.0036222589971316773,0.0012992963314985852,0.0009715931608553865,0.0007341830715856928,2.65733597525529,0.2548682702567258
28,0.0039014116673456926,0.0012954282781762535,0.0009662819974117947,0.000730372561710073,2.6424119944162157,0.25392807018358415
29,0.0070048049171433325,0.0012915656676056465,0.0009609953490759681,0.0007265784129666799,2.627568870859616,0.25299014895895405
30,0.006380685502288553,0.0012877085185155905,0.0009557331303262133,0.0007228005752117206,2.612806199366333,0.25205450671259005
31,0.005671511899595121,0.001283856849482439,0.0009504952557580243,0.0007190389983264213,2.5981235765107393,0.2511211435383843
32,0.008167218497585185,0.0012800106789072937,0.0009452816400682515,0.0007152936322051258,2.583520600654243,0.25019005949003387
