iteration,drag,lift,side,pressure_drag,viscous_drag
1,115.08694670518116,342.1624910894512,0.013993554365860021,91.04678308929043,24.011695772322607
2,115.11653722479977,342.3285703513608,0.00924633682912769,91.09301901421998,24.023254753554994
3,115.21641233830093,342.15038579023843,0.0005963036992017413,91.13871417429841,24.034678543574604
4,115.32000437031684,342.392807626111,-0.006469367777055739,91.18387489418834,24.045968723547084
5,115.29122701719646,342.3802728432161,0.0069822331361358994,91.2285074245805,24.057126856145125
6,115.34957572050978,342.4769740890459,0.003934853854217496,91.27261794305902,24.068154485764754
7,115.49786628252097,342.5512485097873,0.008951932200277323,91.31621255495637,24.07905313873909
8,115.51418464627785,342.6113029085854,0.006351718016819695,91.35929729419848,24.08982432354962
9,115.50853954516067,342.7651823859479,0.010495527153193351,91.40187812413984,24.10046953103496
10,115.61464348925632,342.77480945617214,-0.00535235211560568,91.4439609383889,24.110990234597224
11,115.6191573653736,342.94202302030976,0.013173940656343258,91.48555156162381,24.121387890405952
12,115.67317363019619,342.99459439890046,0.0019759960469239966,91.52665575039859,24.131663937599647
13,115.76201766245131,343.05686019971324,0.020752608726252654,91.56727919393997,24.141819798484992
14,115.70705088392107,343.07987871973853,-0.006891878180895678,91.60742751493473,24.151856878733682
15,115.76860851747234,343.18200449442963,0.017359638031652493,91.647106270308,24.161776567577
16,115.87823185814804,343.36340384718,0.001979107834626478,91.68632095199237,24.171580237998093
17,115.90655686237602,343.4170454703441,-0.006514180036144484,91.72507698768807,24.181269246922017
18,116.02313127283288,343.3719495557923,-0.004838858340543216,91.76337974161414,24.190844935403536
19,116.01161434131855,343.53047380856736,-0.003203473081943202,91.80123451525097,24.200308628812742
20,116.03538089957621,343.6542117465353,0.004241659464019164,91.83864654807401,24.209661637018502
21,116.22765061660321,343.53133104681604,0.0052283548803549965,91.87562101827902,24.218905254569755
22,116.19085056885083,343.77835285613793,-0.0057370000393857905,91.91216304349878,24.228040760874695
23,116.25269357637949,343.75110123241006,-0.00024354592260982842,91.94827768151134,24.237069420377836
24,116.22467148728074,343.9182211865703,0.021422703586118638,91.98396993094022,24.245992482735055
25,116.31470271904053,343.8792182403009,0.017275431701007114,92.01924473194607,24.25481118298652
26,116.39290936127513,343.86284596310884,0.004363236696740321,92.05410696691065,24.263526741727663
27,116.37469044759638,343.9432508395156,0.0003800347816820029,92.08856146111242,24.272140365278105
28,116.49534445232372,344.1427870538192,0.001200313267182613,92.12261298339452,24.28065324584863
29,116.49029649711085,344.2244804866972,0.006135179727304167,92.15626624682477,24.289066561706193
30,116.54896891855547,344.1954041854013,-0.010227925651984056,92.18952590934802,24.297381477337005
31,116.57615649813145,344.38217604843635,-0.002573765374233451,92.22239657443087,24.30559914360772
32,116.74101367904726,344.2608063102782,-0.016685840738775895,92.25488279169883,24.31372069792471
33,116.68935915530892,344.4503886554167,0.0039922312260527925,92.28698905756599,24.321747264391497
34,116.67826552790297,344.4200563757711,0.00647195939702741,92.31871981585745,24.329679953964362
35,116.8128846134657,344.5253764873322,-0.00483186462299374,92.35007945842429,24.337519864606072
36,116.75081705939257,344.6412315254202,0.015739867632900327,92.38107232575156,24.34526808143789
37,116.8619061421922,344.6278607669496,-0.012257656630023412,92.41170270755896,24.35292567688974
38,116.79259121148091,344.72452886119936,-0.014643748802098202,92.44197484339456,24.36049371084864
39,116.86279131643639,344.8937486967251,0.0022445181855997205,92.47189292322173,24.367973230805433
40,116.9771897632303,344.82440554299853,0.010470983026121546,92.5014610879989,24.375365271999726
41,117.04194225474426,344.99409061100175,0.016839276914578687,92.53068343025285,24.382670857563213
42,117.05079159222542,344.89291076944295,-0.0045888426286894,92.55956399464505,24.38989099866126
43,117.0731828578219,345.0811043742112,0.010786808334312956,92.58810677853158,24.397026694632896
