iteration,probe1_u,probe2_u,probe1_p
1,32.21357718827317,28.135138977743726,101306.07691170996
2,32.18501602033478,28.144406997664426,101306.8918195411
3,32.17772512904126,28.13011597391455,101305.15871541559
4,32.19209039868224,28.138484206251928,101304.95107011618
5,32.186842192449646,28.10546216210117,101304.45308483203
6,32.179288345730306,28.146303194087583,101305.0517445044
7,32.20040651293033,28.140776032649576,101310.92024169727
8,32.20372937344874,28.123136386193632,101308.5680747965
9,32.184554374780085,28.151400835056258,101304.87664008996
10,32.210518085228294,28.15571651019487,101305.1195267286
11,32.15633304477664,28.103574415418013,101308.0237652782
12,32.173510898157836,28.119242839467162,101308.31743081521
13,32.161282639772054,28.11789732593462,101308.51326586163
14,32.136540914738305,28.113275963766252,101307.49877584142
15,32.17048798156816,28.147468290769048,101307.88218411218
16,32.16799380762557,28.125817855800683,101308.74925065902
17,32.19900195818412,28.123230385013155,101308.57126974779
18,32.17967027597335,28.087280359431567,101305.29643437931
19,32.14490809030209,28.138913417698753,101308.46161861447
20,32.20082800194228,28.10027776981421,101307.70814229027
21,32.18653752310454,28.125129806784468,101309.42502580163
22,32.17214571366187,28.12835715172086,101313.81509860579
23,32.15437703852367,28.148911393285715,101310.06150033102
24,32.13813678747884,28.094420479567315,101309.21113870345
25,32.14831602109286,28.059115277367603,101311.23339968504
26,32.175985289554795,28.12210102087073,101310.74212315872
27,32.19036762498607,28.15336255027483,101310.81377732204
28,32.18202161885659,28.141069248978546,101311.25762653504
29,32.13987572507999,28.119431116336987,101313.59407206364
30,32.125771295470564,28.10436233429189,101308.97304113553
31,32.14950711618308,28.129304077583413,101311.53816974456
32,32.10986102010348,28.092666621567584,101309.59474809318
33,32.15024810097008,28.120649888489382,101311.97245656778
34,32.139402012826544,28.120226507586374,101309.91431441215
35,32.131616887906375,28.13032477450362,101310.81775821948
36,32.10764120386887,28.163326267374025,101311.15096420793
37,32.148418868258865,28.115002812860162,101313.20545966944
38,32.12611826504923,28.096005503727472,101313.26591492775
39,32.112013038185424,28.104712348384602,101310.1645371153
40,32.0766187649415,28.06889007116205,101312.2587933979
41,32.13217975192625,28.089433698815505,101311.25371832297
42,32.1668543958964,28.094207224412237,101310.57046092853
43,32.16332700323562,28.090984479232223,101312.2712745243
44,32.119665359084905,28.10359510434602,101312.27112644767
